region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight
Middle East & Africa,request,0,request_count,Create comprehensive business documents and formal strategic reports,112.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Create comprehensive business documents and formal strategic reports,0.43144959358989177,weighted_average,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,Create comprehensive marketing materials and promotional content packages,90.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Create comprehensive marketing materials and promotional content packages,0.3467005662775915,weighted_average,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,"Create, modify, and improve business application dashboards and interfaces",142.0,sum,"AE,EG,IL,MA,NG,TR,ZA",0.04829682714459602
Middle East & Africa,request,0,request_pct,"Create, modify, and improve business application dashboards and interfaces",0.3048387789274827,weighted_average,"AE,EG,IL,MA,NG,TR,ZA",0.04829682714459602
Middle East & Africa,request,0,request_count,Debug and fix API integrations and third-party service connections,244.0,sum,"AE,EG,IL,KE,MA,NG,TR,ZA",0.05251147233679007
Middle East & Africa,request,0,request_pct,Debug and fix API integrations and third-party service connections,0.48176594862479516,weighted_average,"AE,EG,IL,KE,MA,NG,TR,ZA",0.05251147233679007
Middle East & Africa,request,0,request_count,Debug and fix errors in existing Python code,288.0,sum,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,0,request_pct,Debug and fix errors in existing Python code,0.5205415077629367,weighted_average,"AE,EG,IL,KE,MA,NG,SA,TN,TR,ZA",0.057363757576511624
Middle East & Africa,request,0,request_count,Debug and fix existing trading bot code and functionality,171.0,sum,"AE,IL,NG,TR,ZA",0.0376995605986144
Middle East & Africa,request,0,request_pct,Debug and fix existing trading bot code and functionality,0.4702840955969308,weighted_average,"AE,IL,NG,TR,ZA",0.0376995605986144
Middle East & Africa,request,0,request_count,Develop automated trading systems and technical analysis strategies,318.0,sum,"AE,DZ,IL,KE,MA,NG,SA,TR,ZA",0.05186450097149386
Middle East & Africa,request,0,request_pct,Develop automated trading systems and technical analysis strategies,0.6357075745157228,weighted_average,"AE,DZ,IL,KE,MA,NG,SA,TR,ZA",0.05186450097149386
Middle East & Africa,request,0,request_count,Draft new emails and messages from scratch for various purposes,86.0,sum,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_pct,Draft new emails and messages from scratch for various purposes,0.33129165222080975,weighted_average,"AE,IL,NG,ZA",0.026914630884173462
Middle East & Africa,request,0,request_count,Explain professional concepts and help create business deliverables,131.0,sum,"AE,IL,MA,NG,TR,ZA",0.0427229199974287
Middle East & Africa,request,0,request_pct,Explain professional concepts and help create business deliverables,0.3179148667669756,weighted_average,"AE,IL,MA,NG,TR,ZA",0.0427229199974287
Middle East & Africa,request,0,request_count,"Help create, improve, and customize resumes and CVs",230.0,sum,"AE,EG,IL,KE,MA,NG,TN,TR,ZA",0.054466901815874436
Middle East & Africa,request,0,request_pct,"Help create, improve, and customize resumes and CVs",0.4378200369291683,weighted_average,"AE,EG,IL,KE,MA,NG,TN,TR,ZA",0.054466901815874436
